"ELEM_ID","ELEM_NAME","S_FROM_IP1","S_FROM_CLOSEST_IP","U","V","ELEMENT_APERTURE_ID","ELEM_APERTURE","ELEM_ELLIPSE_PARAM_A","ELEM_ELLIPSE_PARAM_B","ELEM_ELLIPSE_PARAM_C","ELEM_ELLIPSE_PARAM_D","BEAM","IP_NAME","HALF_CELL"
"248452","BPM.7L8.B1","23057.2478","-258.055","-0.097","0","54743407","E","0.024","0.024","0.024","0.024","B1","IP8","7L8"
"248453","BPM.7L8.B2","23057.2478","-258.055","0.097","0","54743409","I","0.024","0.024","0.024","0.024","B2","IP8","7L8"
"248452","BPM.7L8.B1","23057.7072","-257.5956","-0.097","0","54743408","E","0.024","0.024","0.024","0.024","B1","IP8","7L8"
"248453","BPM.7L8.B2","23057.7072","-257.5956","0.097","0","54743410","I","0.024","0.024","0.024","0.024","B2","IP8","7L8"
"391852","VSSB.7L8.B","23057.73821","-257.56459","-0.097","0","54746521","E","0.02202","0.01714","0.02202","0.02202","B1","IP8","7L8"
"391851","VSSB.7L8.R","23057.73821","-257.56459","0.097","0","54746519","I","0.02202","0.01714","0.02202","0.02202","B2","IP8","7L8"
"391851","VSSB.7L8.R","23067.17341","-248.12939","0.097","0","54746520","I","0.02202","0.01714","0.02202","0.02202","B2","IP8","7L8"
"391852","VSSB.7L8.B","23067.17341","-248.12939","-0.097","0","54746522","E","0.02202","0.01714","0.02202","0.02202","B1","IP8","7L8"
"396218","VSSG.7L8.B","23067.3685","-247.9343","-0.097","0","54746769","E","0.029","0.0241","0.029","0.029","B1","IP8","7L8"
"396217","VSSG.7L8.R","23067.3685","-247.9343","0.097","0","54746767","I","0.029","0.0241","0.029","0.029","B2","IP8","7L8"
"396217","VSSG.7L8.R","23069.0706","-246.2322","0.097","0","54746768","I","0.029","0.0241","0.029","0.029","B2","IP8","7L8"
"396218","VSSG.7L8.B","23069.0706","-246.2322","-0.097","0","54746770","E","0.029","0.0241","0.029","0.029","B1","IP8","7L8"
"272391","VABBG.7L8.C","23069.4028","-245.9","0.097","0","54743889","I","0.0315","0.0315","0.0315","0.0315","B2","IP8","7L8"
"1616439","VFCDO.B7L8.R","23069.4028","-245.9","0.097","0","54759901","I","0.0315","0.0315","0.0315","0.0315","B2","IP8","7L8"
"1616432","VFCDO.B7L8.B","23069.4028","-245.9","-0.097","0","54759887","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"272391","VABBG.7L8.C","23069.4028","-245.9","-0.097","0","54743888","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"1616439","VFCDO.B7L8.R","23069.4228","-245.88","0.097","0","54759902","I","0.0315","0.0315","0.0315","0.0315","B2","IP8","7L8"
"1616432","VFCDO.B7L8.B","23069.4228","-245.88","-0.097","0","54759888","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"1053655","VMACD.7L8.B","23069.7578","-245.545","-0.097","0","54758761","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"1053639","VMACC.7L8.R","23069.7578","-245.545","0.097","0","54758745","I","0.0315","0.0315","0.0315","0.0315","B2","IP8","7L8"
"272391","VABBG.7L8.C","23070.0578","-245.245","0.097","0","54743891","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"1053655","VMACD.7L8.B","23070.0578","-245.245","-0.097","0","54758762","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"1053639","VMACC.7L8.R","23070.0578","-245.245","0.097","0","54758746","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"272391","VABBG.7L8.C","23070.0578","-245.245","-0.097","0","54743890","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"272393","VCDCH.7L8.R","23070.0578","-245.245","0.097","0","54743894","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"272392","VCDCH.7L8.B","23070.0578","-245.245","-0.097","0","54743892","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"272393","VCDCH.7L8.R","23076.7578","-238.545","0.097","0","54743895","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"272392","VCDCH.7L8.B","23076.7578","-238.545","-0.097","0","54743893","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"272397","VAMFI.7L8.B","23076.7578","-238.545","-0.097","0","54743898","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"1876098","VMAAF.A7L8.R","23076.7578","-238.545","0.097","0","54760477","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"272394","VAMWI.7L8.R","23076.7578","-238.545","0.097","0","54743896","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"1876086","VMAAF.A7L8.B","23076.7578","-238.545","-0.097","0","54760475","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"1876086","VMAAF.A7L8.B","23077.0578","-238.245","-0.097","0","54760476","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"272394","VAMWI.7L8.R","23077.0578","-238.245","0.097","0","54743897","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"272397","VAMFI.7L8.B","23077.0578","-238.245","-0.097","0","54743899","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"1876098","VMAAF.A7L8.R","23077.0578","-238.245","0.097","0","54760478","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"272398","VCDBS.7L8.B","23077.0578","-238.245","-0.097","0","54743900","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"382377","VCDBS.7L8.R","23077.0578","-238.245","0.097","0","54745113","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"272398","VCDBS.7L8.B","23078.0558","-237.247","-0.097","0","54743901","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"382377","VCDBS.7L8.R","23078.0558","-237.247","0.097","0","54745114","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"1053757","VMAND.7L8.R","23078.0558","-237.247","0.097","0","54758807","I","0.04","0.04","0.04","0.04","B2","IP8","7L8"
"1053753","VMACC.7L8.B","23078.0558","-237.247","-0.097","0","54758799","E","0.04","0.04","0.04","0.04","B1","IP8","7L8"
"1053753","VMACC.7L8.B","23078.3458","-236.957","-0.097","0","54758800","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"1053757","VMAND.7L8.R","23078.3458","-236.957","0.097","0","54758808","I","0.05","0.05","0.05","0.05","B2","IP8","7L8"
"641278","VVGSH.7L8.R","23078.3458","-236.957","0.097","0","54755071","I","0.05","0.05","0.05","0.05","B2","IP8","7L8"
"641256","VVGST.A7L8.B","23078.3508","-236.952","-0.097","0","54755031","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"641256","VVGST.A7L8.B","23078.4258","-236.877","-0.097","0","54755032","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"641278","VVGSH.7L8.R","23078.4308","-236.872","0.097","0","54755072","I","0.05","0.05","0.05","0.05","B2","IP8","7L8"
"1053761","VMAOC.7L8.R","23078.4308","-236.872","0.097","0","54758815","I","0.05","0.05","0.05","0.05","B2","IP8","7L8"
"1053749","VMABD.7L8.B","23078.4308","-236.872","-0.097","0","54758791","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"1053761","VMAOC.7L8.R","23078.6908","-236.612","0.097","0","54758816","I","0.0315","0.0315","0.0315","0.0315","B2","IP8","7L8"
"1053749","VMABD.7L8.B","23078.6908","-236.612","-0.097","0","54758792","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"1627464","VFCDO.A7L8.B","23078.6908","-236.612","-0.097","0","54759975","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"1627501","VFCDO.A7L8.R","23078.6908","-236.612","0.097","0","54759983","I","0.0315","0.0315","0.0315","0.0315","B2","IP8","7L8"
"1627501","VFCDO.A7L8.R","23078.7108","-236.592","0.097","0","54759984","I","0.0315","0.0315","0.0315","0.0315","B2","IP8","7L8"
"1627464","VFCDO.A7L8.B","23078.7108","-236.592","-0.097","0","54759976","E","0.0315","0.0315","0.0315","0.0315","B1","IP8","7L8"
"391853","VSSB.6L8.R","23079.060455","-236.242345","0.097","0","54746523","I","0.0226","0.0177","0.0226","0.0226","B2","IP8","6L8"
"391854","VSSB.6L8.B","23079.060455","-236.242345","-0.097","0","54746525","E","0.0177","0.0226","0.0226","0.0226","B1","IP8","6L8"
"391853","VSSB.6L8.R","23089.897055","-225.405745","0.097","0","54746524","I","0.0226","0.0177","0.0226","0.0226","B2","IP8","6L8"
"391854","VSSB.6L8.B","23089.897055","-225.405745","-0.097","0","54746526","E","0.0177","0.0226","0.0226","0.0226","B1","IP8","6L8"
"298291","BPM.6L8.B2","23089.9274","-225.3754","0.097","0","54744836","I","0.024","0.024","0.024","0.024","B2","IP8","6L8"
"248461","BPMR.6L8.B1","23089.9274","-225.3754","-0.097","0","54743411","E","0.024","0.024","0.024","0.024","B1","IP8","6L8"
"298291","BPM.6L8.B2","23090.3868","-224.916","0.097","0","54744837","I","0.024","0.024","0.024","0.024","B2","IP8","6L8"
"248461","BPMR.6L8.B1","23090.3868","-224.916","-0.097","0","54743412","E","0.024","0.024","0.024","0.024","B1","IP8","6L8"
