"ELEM_ID","ELEM_NAME","S_FROM_IP1","S_FROM_CLOSEST_IP","U","V","ELEMENT_APERTURE_ID","ELEM_APERTURE","ELEM_ELLIPSE_PARAM_A","ELEM_ELLIPSE_PARAM_B","ELEM_ELLIPSE_PARAM_C","ELEM_ELLIPSE_PARAM_D","BEAM","IP_NAME","HALF_CELL"
"247486","BPM.7L7.B1","19725.3964","-268.766","-0.097","0","54743203","E","0.024","0.024","0.024","0.024","B1","IP7","7L7"
"247487","BPM.7L7.B2","19725.3964","-268.766","0.097","0","54743205","I","0.024","0.024","0.024","0.024","B2","IP7","7L7"
"247487","BPM.7L7.B2","19725.8558","-268.3066","0.097","0","54743206","I","0.024","0.024","0.024","0.024","B2","IP7","7L7"
"247486","BPM.7L7.B1","19725.8558","-268.3066","-0.097","0","54743204","E","0.024","0.024","0.024","0.024","B1","IP7","7L7"
"391792","VSSB.7L7.B","19725.886306","-268.276094","-0.097","0","54746401","E","0.02202","0.01714","0.02202","0.02202","B1","IP7","7L7"
"391791","VSSB.7L7.R","19725.886306","-268.276094","0.097","0","54746399","I","0.02202","0.01714","0.02202","0.02202","B2","IP7","7L7"
"391791","VSSB.7L7.R","19732.952706","-261.209694","0.097","0","54746400","I","0.02202","0.01714","0.02202","0.02202","B2","IP7","7L7"
"391792","VSSB.7L7.B","19732.952706","-261.209694","-0.097","0","54746402","E","0.02202","0.01714","0.02202","0.02202","B1","IP7","7L7"
"396213","VSSG.7L7.R","19733.1441","-261.0183","0.097","0","54746759","I","0.029","0.0241","0.029","0.029","B2","IP7","7L7"
"396214","VSSG.7L7.B","19733.1441","-261.0183","-0.097","0","54746761","E","0.029","0.0241","0.029","0.029","B1","IP7","7L7"
"396214","VSSG.7L7.B","19734.8462","-259.3162","-0.097","0","54746762","E","0.029","0.0241","0.029","0.029","B1","IP7","7L7"
"396213","VSSG.7L7.R","19734.8462","-259.3162","0.097","0","54746760","I","0.029","0.0241","0.029","0.029","B2","IP7","7L7"
"1616438","VFCDO.C7L7.R","19735.1784","-258.984","0.097","0","54759899","I","0.0315","0.0315","0.0315","0.0315","B2","IP7","7L7"
"1616431","VFCDO.B7L7.B","19735.1784","-258.984","-0.097","0","54759885","E","0.0315","0.0315","0.0315","0.0315","B1","IP7","7L7"
"1616431","VFCDO.B7L7.B","19735.1984","-258.964","-0.097","0","54759886","E","0.0315","0.0315","0.0315","0.0315","B1","IP7","7L7"
"1616438","VFCDO.C7L7.R","19735.1984","-258.964","0.097","0","54759900","I","0.0315","0.0315","0.0315","0.0315","B2","IP7","7L7"
"1053667","VMACD.7L7.B","19735.5334","-258.629","-0.097","0","54758773","E","0.0315","0.0315","0.0315","0.0315","B1","IP7","7L7"
"1053651","VMACC.7L7.R","19735.5334","-258.629","0.097","0","54758757","I","0.0315","0.0315","0.0315","0.0315","B2","IP7","7L7"
"1053667","VMACD.7L7.B","19735.8334","-258.329","-0.097","0","54758774","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1053651","VMACC.7L7.R","19735.8334","-258.329","0.097","0","54758758","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758237","VCDDN.7L7.R","19735.8334","-258.329","0.097","0","54755441","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758236","VCDDN.7L7.B","19735.8334","-258.329","-0.097","0","54755439","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"758236","VCDDN.7L7.B","19741.5034","-252.659","-0.097","0","54755440","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"758237","VCDDN.7L7.R","19741.5034","-252.659","0.097","0","54755442","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"994533","VMAAB.C7L7.B","19741.5034","-252.659","-0.097","0","54757557","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005712","VMAAB.B7L7.R","19741.5034","-252.659","0.097","0","54757731","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"994533","VMAAB.C7L7.B","19741.8034","-252.359","-0.097","0","54757558","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005712","VMAAB.B7L7.R","19741.8034","-252.359","0.097","0","54757732","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1499528","VCDCT.7L7.B","19741.8034","-252.359","-0.097","0","54759645","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1499530","VCDCT.7L7.R","19741.8034","-252.359","0.097","0","54759649","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1499530","VCDCT.7L7.R","19742.5034","-251.659","0.097","0","54759650","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1499528","VCDCT.7L7.B","19742.5034","-251.659","-0.097","0","54759646","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1499527","VAMVD.7L7.B","19742.5034","-251.659","-0.097","0","54759643","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1499529","VAMWD.7L7.R","19742.5034","-251.659","0.097","0","54759647","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1553523","VMAAF.7L7.R","19742.5034","-251.659","0.097","0","54759741","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1551581","VMAAE.7L7.B","19742.5034","-251.659","-0.097","0","54759739","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1499529","VAMWD.7L7.R","19742.8034","-251.359","0.097","0","54759648","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1551581","VMAAE.7L7.B","19742.8034","-251.359","-0.097","0","54759740","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1553523","VMAAF.7L7.R","19742.8034","-251.359","0.097","0","54759742","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1499527","VAMVD.7L7.B","19742.8034","-251.359","-0.097","0","54759644","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005705","VCDQW.7L7.B","19742.8034","-251.359","-0.097","0","54757719","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005711","VCDQS.7L7.R","19742.8034","-251.359","0.097","0","54757729","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1005711","VCDQS.7L7.R","19743.3664","-250.796","0.097","0","54757730","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"875502","VMTIA.D7L7.R","19743.3664","-250.796","0.097","0","54756971","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758240","VAMTA.D7L7.R","19743.3664","-250.796","0.097","0","54755447","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"875502","VMTIA.D7L7.R","19743.8864","-250.276","0.097","0","54756972","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758240","VAMTA.D7L7.R","19743.8864","-250.276","0.097","0","54755448","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758258","VCDSS.7L7.R","19743.8864","-250.276","0.097","0","54755481","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758258","VCDSS.7L7.R","19745.3664","-248.796","0.097","0","54755482","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758239","VAMTA.C7L7.R","19745.3664","-248.796","0.097","0","54755445","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"875500","VMTIA.C7L7.R","19745.3664","-248.796","0.097","0","54756969","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1005705","VCDQW.7L7.B","19745.4264","-248.736","-0.097","0","54757720","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"994531","VAMLB.7L7.B","19745.4264","-248.736","-0.097","0","54757555","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1818387","VMIAL.A7L7.B","19745.4264","-248.736","-0.097","0","54760423","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"994531","VAMLB.7L7.B","19745.8264","-248.336","-0.097","0","54757556","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1818387","VMIAL.A7L7.B","19745.8264","-248.336","-0.097","0","54760424","E","0.08","0.08","0.08","0.08","B1","IP7","7L7"
"1005704","VCDRX.7L7.B","19745.8264","-248.336","-0.097","0","54757717","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"758239","VAMTA.C7L7.R","19745.8864","-248.276","0.097","0","54755446","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"875500","VMTIA.C7L7.R","19745.8864","-248.276","0.097","0","54756970","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1005710","VCDRW.7L7.R","19745.8864","-248.276","0.097","0","54757727","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1005710","VCDRW.7L7.R","19749.8824","-244.28","0.097","0","54757728","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1005704","VCDRX.7L7.B","19749.8824","-244.28","-0.097","0","54757718","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005709","VMAAB.A7L7.R","19749.8824","-244.28","0.097","0","54757725","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1005707","VMAAB.B7L7.B","19749.8824","-244.28","-0.097","0","54757721","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005707","VMAAB.B7L7.B","19750.1824","-243.98","-0.097","0","54757722","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005709","VMAAB.A7L7.R","19750.1824","-243.98","0.097","0","54757726","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1017423","VCDBO.7L7.B","19750.1824","-243.98","-0.097","0","54757739","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1005708","VCDRT.7L7.R","19750.1824","-243.98","0.097","0","54757723","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1005708","VCDRT.7L7.R","19755.2044","-238.958","0.097","0","54757724","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"968706","VAMTA.B7L7.R","19755.2044","-238.958","0.097","0","54757491","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1067108","VMTIA.B7L7.R","19755.2044","-238.958","0.097","0","54759039","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1017423","VCDBO.7L7.B","19755.3144","-238.848","-0.097","0","54757740","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1017422","VMAAB.A7L7.B","19755.3144","-238.848","-0.097","0","54757737","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1017422","VMAAB.A7L7.B","19755.6144","-238.548","-0.097","0","54757738","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"968714","VCDLL.7L7.B","19755.6144","-238.548","-0.097","0","54757503","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1067108","VMTIA.B7L7.R","19755.7244","-238.438","0.097","0","54759040","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"968706","VAMTA.B7L7.R","19755.7244","-238.438","0.097","0","54757492","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"691015","TCLA.A7L7.B2","19755.7244","-238.438","0.097","0","54755315","I","0.03","0.04","0.04","0.04","B2","IP7","7L7"
"691015","TCLA.A7L7.B2","19757.2044","-236.958","0.097","0","54755316","I","0.03","0.04","0.04","0.04","B2","IP7","7L7"
"758238","VAMTA.A7L7.R","19757.2044","-236.958","0.097","0","54755443","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"875498","VMTIA.A7L7.R","19757.2044","-236.958","0.097","0","54756967","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"758238","VAMTA.A7L7.R","19757.7244","-236.438","0.097","0","54755444","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"875498","VMTIA.A7L7.R","19757.7244","-236.438","0.097","0","54756968","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"968707","VCDQC.7L7.R","19757.7244","-236.438","0.097","0","54757493","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"53428023","VADLAA.A7L7.C","19759.2284","-234.934","0.097","0","54766131","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"968707","VCDQC.7L7.R","19759.2284","-234.934","0.097","0","54757494","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"968714","VCDLL.7L7.B","19759.2284","-234.934","-0.097","0","54757504","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"1053495","VMAND.7L7.R","19759.2284","-234.934","0.097","0","54758561","I","0.04","0.04","0.04","0.04","B2","IP7","7L7"
"1053491","VMACC.7L7.B","19759.2284","-234.934","-0.097","0","54758551","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
"53428023","VADLAA.A7L7.C","19759.2284","-234.934","-0.097","0","54766132","E","0.04","0.04","0.04","0.04","B1","IP7","7L7"
