"ELEM_ID","ELEM_NAME","S_FROM_IP1","S_FROM_CLOSEST_IP","U","V","ELEMENT_APERTURE_ID","ELEM_APERTURE","ELEM_ELLIPSE_PARAM_A","ELEM_ELLIPSE_PARAM_B","ELEM_ELLIPSE_PARAM_C","ELEM_ELLIPSE_PARAM_D","BEAM","IP_NAME","HALF_CELL"
"4773707","BPMCS.7L4.B2","9727.6122","-269.469","-0.097","0","54764522","E","0.024","0.024","0.024","0.024","B2","IP4","7L4"
"4773709","BPMCS.7L4.B1","9727.6122","-269.469","0.097","0","54764524","I","0.024","0.024","0.024","0.024","B1","IP4","7L4"
"4773671","BPM.7L4.B2","9727.8042","-269.277","-0.097","0","54764490","E","0.024","0.024","0.024","0.024","B2","IP4","7L4"
"244699","BPMC.7L4.B1","9727.8042","-269.277","0.097","0","54742567","I","0.024","0.024","0.024","0.024","B1","IP4","7L4"
"244698","BPMC.7L4.B2","9727.8042","-269.277","-0.097","0","54742565","E","0.024","0.024","0.024","0.024","B2","IP4","7L4"
"4773673","BPM.7L4.B1","9727.8042","-269.277","0.097","0","54764492","I","0.024","0.024","0.024","0.024","B1","IP4","7L4"
"4773709","BPMCS.7L4.B1","9728.0716","-269.0096","0.097","0","54764525","I","0.024","0.024","0.024","0.024","B1","IP4","7L4"
"4773707","BPMCS.7L4.B2","9728.0716","-269.0096","-0.097","0","54764523","E","0.024","0.024","0.024","0.024","B2","IP4","7L4"
"4773671","BPM.7L4.B2","9728.2636","-268.8176","-0.097","0","54764491","E","0.024","0.024","0.024","0.024","B2","IP4","7L4"
"244699","BPMC.7L4.B1","9728.2636","-268.8176","0.097","0","54742568","I","0.024","0.024","0.024","0.024","B1","IP4","7L4"
"4773673","BPM.7L4.B1","9728.2636","-268.8176","0.097","0","54764493","I","0.024","0.024","0.024","0.024","B1","IP4","7L4"
"244698","BPMC.7L4.B2","9728.2636","-268.8176","-0.097","0","54742566","E","0.024","0.024","0.024","0.024","B2","IP4","7L4"
"391586","VSSB.7L4.R","9728.294106","-268.787094","-0.097","0","54745977","E","0.02202","0.01714","0.02202","0.02202","B2","IP4","7L4"
"391585","VSSB.7L4.B","9728.294106","-268.787094","0.097","0","54745975","I","0.02202","0.01714","0.02202","0.02202","B1","IP4","7L4"
"391585","VSSB.7L4.B","9734.088806","-262.992394","0.097","0","54745976","I","0.02202","0.01714","0.02202","0.02202","B1","IP4","7L4"
"391586","VSSB.7L4.R","9734.088806","-262.992394","-0.097","0","54745978","E","0.02202","0.01714","0.02202","0.02202","B2","IP4","7L4"
"396195","VSSG.7L4.B","9734.2769","-262.8043","0.097","0","54746731","I","0.029","0.0241","0.029","0.029","B1","IP4","7L4"
"396197","VSSG.7L4.R","9734.2769","-262.8043","-0.097","0","54746733","E","0.029","0.0241","0.029","0.029","B2","IP4","7L4"
"396197","VSSG.7L4.R","9735.979","-261.1022","-0.097","0","54746734","E","0.029","0.0241","0.029","0.029","B2","IP4","7L4"
"396195","VSSG.7L4.B","9735.979","-261.1022","0.097","0","54746732","I","0.029","0.0241","0.029","0.029","B1","IP4","7L4"
"272022","VABBG.7L4.C","9736.3112","-260.77","0.097","0","54743841","I","0.0315","0.0315","0.0315","0.0315","B1","IP4","7L4"
"1616434","VFCDO.B7L4.R","9736.3112","-260.77","-0.097","0","54759891","E","0.0315","0.0315","0.0315","0.0315","B2","IP4","7L4"
"1616441","VFCDO.B7L4.B","9736.3112","-260.77","0.097","0","54759905","I","0.0315","0.0315","0.0315","0.0315","B1","IP4","7L4"
"272022","VABBG.7L4.C","9736.3112","-260.77","-0.097","0","54743840","E","0.0315","0.0315","0.0315","0.0315","B2","IP4","7L4"
"1616441","VFCDO.B7L4.B","9736.3312","-260.75","0.097","0","54759906","I","0.0315","0.0315","0.0315","0.0315","B1","IP4","7L4"
"1616434","VFCDO.B7L4.R","9736.3312","-260.75","-0.097","0","54759892","E","0.0315","0.0315","0.0315","0.0315","B2","IP4","7L4"
"1053637","VMACC.7L4.B","9736.6662","-260.415","0.097","0","54758743","I","0.0315","0.0315","0.0315","0.0315","B1","IP4","7L4"
"1053653","VMACD.7L4.R","9736.6662","-260.415","-0.097","0","54758759","E","0.0315","0.0315","0.0315","0.0315","B2","IP4","7L4"
"272022","VABBG.7L4.C","9736.9662","-260.115","0.097","0","54743843","I","0.04","0.04","0.04","0.04","B1","IP4","7L4"
"1053653","VMACD.7L4.R","9736.9662","-260.115","-0.097","0","54758760","E","0.04","0.04","0.04","0.04","B2","IP4","7L4"
"1053637","VMACC.7L4.B","9736.9662","-260.115","0.097","0","54758744","I","0.04","0.04","0.04","0.04","B1","IP4","7L4"
"272022","VABBG.7L4.C","9736.9662","-260.115","-0.097","0","54743842","E","0.04","0.04","0.04","0.04","B2","IP4","7L4"
"637457","VCDCH.7L4.R","9736.9662","-260.115","-0.097","0","54754297","E","0.04","0.04","0.04","0.04","B2","IP4","7L4"
