"ELEM_ID","ELEM_NAME","S_FROM_IP1","S_FROM_CLOSEST_IP","U","V","ELEMENT_APERTURE_ID","ELEM_APERTURE","ELEM_ELLIPSE_PARAM_A","ELEM_ELLIPSE_PARAM_B","ELEM_ELLIPSE_PARAM_C","ELEM_ELLIPSE_PARAM_D","BEAM","IP_NAME","HALF_CELL"
"242802","BPM.7L2.B2","3063.0854","-269.275","0.097","0","54742129","I","0.024","0.024","0.024","0.024","B2","IP2","7L2"
"242801","BPM.7L2.B1","3063.0854","-269.275","-0.097","0","54742127","E","0.024","0.024","0.024","0.024","B1","IP2","7L2"
"242801","BPM.7L2.B1","3063.5448","-268.8156","-0.097","0","54742128","E","0.024","0.024","0.024","0.024","B1","IP2","7L2"
"242802","BPM.7L2.B2","3063.5448","-268.8156","0.097","0","54742130","I","0.024","0.024","0.024","0.024","B2","IP2","7L2"
"391445","VSSB.7L2.R","3063.57581","-268.78459","0.097","0","54745697","I","0.02202","0.01714","0.02202","0.02202","B2","IP2","7L2"
"391446","VSSB.7L2.B","3063.57581","-268.78459","-0.097","0","54745699","E","0.02202","0.01714","0.02202","0.02202","B1","IP2","7L2"
"391445","VSSB.7L2.R","3073.01101","-259.34939","0.097","0","54745698","I","0.02202","0.01714","0.02202","0.02202","B2","IP2","7L2"
"391446","VSSB.7L2.B","3073.01101","-259.34939","-0.097","0","54745700","E","0.02202","0.01714","0.02202","0.02202","B1","IP2","7L2"
"396183","VSSG.7L2.R","3073.2061","-259.1543","0.097","0","54746711","I","0.029","0.0241","0.029","0.029","B2","IP2","7L2"
"396184","VSSG.7L2.B","3073.2061","-259.1543","-0.097","0","54746713","E","0.029","0.0241","0.029","0.029","B1","IP2","7L2"
"396183","VSSG.7L2.R","3074.9082","-257.4522","0.097","0","54746712","I","0.029","0.0241","0.029","0.029","B2","IP2","7L2"
"396184","VSSG.7L2.B","3074.9082","-257.4522","-0.097","0","54746714","E","0.029","0.0241","0.029","0.029","B1","IP2","7L2"
"1616430","VFCDO.B7L2.B","3075.2404","-257.12","-0.097","0","54759883","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"1616437","VFCDO.B7L2.R","3075.2404","-257.12","0.097","0","54759897","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","7L2"
"1616430","VFCDO.B7L2.B","3075.2604","-257.1","-0.097","0","54759884","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"1616437","VFCDO.B7L2.R","3075.2604","-257.1","0.097","0","54759898","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","7L2"
"1053649","VMACC.7L2.R","3075.5954","-256.765","0.097","0","54758755","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","7L2"
"1053665","VMACD.7L2.B","3075.5954","-256.765","-0.097","0","54758771","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"1053665","VMACD.7L2.B","3075.8954","-256.465","-0.097","0","54758772","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"1053649","VMACC.7L2.R","3075.8954","-256.465","0.097","0","54758756","I","0.04","0.04","0.04","0.04","B2","IP2","7L2"
"283331","VCDCH.7L2.R","3075.8954","-256.465","0.097","0","54744643","I","0.04","0.04","0.04","0.04","B2","IP2","7L2"
"283394","VCDCH.7L2.B","3075.8954","-256.465","-0.097","0","54744722","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"283331","VCDCH.7L2.R","3082.5954","-249.765","0.097","0","54744644","I","0.04","0.04","0.04","0.04","B2","IP2","7L2"
"283394","VCDCH.7L2.B","3082.5954","-249.765","-0.097","0","54744723","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"283395","VAMVB.7L2.B","3082.5954","-249.765","-0.097","0","54744724","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"283332","VAMWB.7L2.R","3082.5954","-249.765","0.097","0","54744645","I","0.02","0.02","0.03464","0.03464","B2","IP2","7L2"
"964092","VMAAF.7L2.R","3082.5954","-249.765","0.097","0","54757361","I","0.02","0.02","0.03464","0.03464","B2","IP2","7L2"
"963596","VMAAE.7L2.B","3082.5954","-249.765","-0.097","0","54757235","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"283332","VAMWB.7L2.R","3082.8954","-249.465","0.097","0","54744646","I","0.02","0.02","0.03464","0.03464","B2","IP2","7L2"
"963596","VMAAE.7L2.B","3082.8954","-249.465","-0.097","0","54757236","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"964092","VMAAF.7L2.R","3082.8954","-249.465","0.097","0","54757362","I","0.02","0.02","0.03464","0.03464","B2","IP2","7L2"
"283395","VAMVB.7L2.B","3082.8954","-249.465","-0.097","0","54744725","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"283333","VCDDO.7L2.R","3082.8954","-249.465","0.097","0","54744647","I","0.04","0.04","0.04","0.04","B2","IP2","7L2"
"382780","VCDDO.7L2.B","3082.8954","-249.465","-0.097","0","54745149","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"382780","VCDDO.7L2.B","3083.5304","-248.83","-0.097","0","54745150","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"283333","VCDDO.7L2.R","3083.5304","-248.83","0.097","0","54744648","I","0.04","0.04","0.04","0.04","B2","IP2","7L2"
"1053755","VMACC.7L2.B","3083.5304","-248.83","-0.097","0","54758803","E","0.04","0.04","0.04","0.04","B1","IP2","7L2"
"1053759","VMAND.7L2.R","3083.5304","-248.83","0.097","0","54758811","I","0.04","0.04","0.04","0.04","B2","IP2","7L2"
"1053759","VMAND.7L2.R","3083.8204","-248.54","0.097","0","54758812","I","0.05","0.05","0.05","0.05","B2","IP2","7L2"
"1053755","VMACC.7L2.B","3083.8204","-248.54","-0.097","0","54758804","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"641290","VVGSH.7L2.R","3083.8204","-248.54","0.097","0","54755097","I","0.05","0.05","0.05","0.05","B2","IP2","7L2"
"641268","VVGST.A7L2.B","3083.8254","-248.535","-0.097","0","54755055","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"641268","VVGST.A7L2.B","3083.9004","-248.46","-0.097","0","54755056","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"641290","VVGSH.7L2.R","3083.9054","-248.455","0.097","0","54755098","I","0.05","0.05","0.05","0.05","B2","IP2","7L2"
"1053763","VMAOC.7L2.R","3083.9054","-248.455","0.097","0","54758819","I","0.05","0.05","0.05","0.05","B2","IP2","7L2"
"1053751","VMABD.7L2.B","3083.9054","-248.455","-0.097","0","54758795","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"1053763","VMAOC.7L2.R","3084.1654","-248.195","0.097","0","54758820","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","7L2"
"1053751","VMABD.7L2.B","3084.1654","-248.195","-0.097","0","54758796","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"1627503","VFCDO.A7L2.R","3084.1654","-248.195","0.097","0","54759987","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","7L2"
"1627499","VFCDO.A7L2.B","3084.1654","-248.195","-0.097","0","54759979","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"1627499","VFCDO.A7L2.B","3084.1854","-248.175","-0.097","0","54759980","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","7L2"
"1627503","VFCDO.A7L2.R","3084.1854","-248.175","0.097","0","54759988","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","7L2"
"391448","VSSB.6L2.B","3084.535055","-247.825345","-0.097","0","54745703","E","0.0177","0.0226","0.0226","0.0226","B1","IP2","6L2"
"391447","VSSB.6L2.R","3084.535055","-247.825345","0.097","0","54745701","I","0.0226","0.0177","0.0226","0.0226","B2","IP2","6L2"
"391448","VSSB.6L2.B","3095.371655","-236.988745","-0.097","0","54745704","E","0.0177","0.0226","0.0226","0.0226","B1","IP2","6L2"
"391447","VSSB.6L2.R","3095.371655","-236.988745","0.097","0","54745702","I","0.0226","0.0177","0.0226","0.0226","B2","IP2","6L2"
"242809","BPMR.6L2.B1","3095.402","-236.9584","-0.097","0","54742131","E","0.024","0.024","0.024","0.024","B1","IP2","6L2"
"298147","BPM.6L2.B2","3095.402","-236.9584","0.097","0","54744814","I","0.024","0.024","0.024","0.024","B2","IP2","6L2"
"298147","BPM.6L2.B2","3095.8614","-236.499","0.097","0","54744815","I","0.024","0.024","0.024","0.024","B2","IP2","6L2"
"242809","BPMR.6L2.B1","3095.8614","-236.499","-0.097","0","54742132","E","0.024","0.024","0.024","0.024","B1","IP2","6L2"
"283335","VACHB.6L2.C","3096.1944","-236.166","0.097","0","54744654","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","6L2"
"1652481","VFCDO.A6L2.B","3096.1944","-236.166","-0.097","0","54760135","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","6L2"
"1652491","VFCDO.A6L2.R","3096.1944","-236.166","0.097","0","54760147","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","6L2"
"283335","VACHB.6L2.C","3096.1944","-236.166","-0.097","0","54744653","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","6L2"
"1652481","VFCDO.A6L2.B","3096.2144","-236.146","-0.097","0","54760136","E","0.0315","0.0315","0.0315","0.0315","B1","IP2","6L2"
"1652491","VFCDO.A6L2.R","3096.2144","-236.146","0.097","0","54760148","I","0.0315","0.0315","0.0315","0.0315","B2","IP2","6L2"
