"ELEM_ID","ELEM_NAME","S_FROM_IP1","S_FROM_CLOSEST_IP","U","V","ELEMENT_APERTURE_ID","ELEM_APERTURE","ELEM_ELLIPSE_PARAM_A","ELEM_ELLIPSE_PARAM_B","ELEM_ELLIPSE_PARAM_C","ELEM_ELLIPSE_PARAM_D","BEAM","IP_NAME","HALF_CELL"
"243762","BPM.7L3.B2","6395.9548","-268.766","-0.097","0","54742353","E","0.024","0.024","0.024","0.024","B2","IP3","7L3"
"243763","BPM.7L3.B1","6395.9548","-268.766","0.097","0","54742355","I","0.024","0.024","0.024","0.024","B1","IP3","7L3"
"243763","BPM.7L3.B1","6396.4142","-268.3066","0.097","0","54742356","I","0.024","0.024","0.024","0.024","B1","IP3","7L3"
"243762","BPM.7L3.B2","6396.4142","-268.3066","-0.097","0","54742354","E","0.024","0.024","0.024","0.024","B2","IP3","7L3"
"391526","VSSB.7L3.R","6396.444706","-268.276094","-0.097","0","54745857","E","0.02202","0.01714","0.02202","0.02202","B2","IP3","7L3"
"391525","VSSB.7L3.B","6396.444706","-268.276094","0.097","0","54745855","I","0.02202","0.01714","0.02202","0.02202","B1","IP3","7L3"
"391525","VSSB.7L3.B","6403.511106","-261.209694","0.097","0","54745856","I","0.02202","0.01714","0.02202","0.02202","B1","IP3","7L3"
"391526","VSSB.7L3.R","6403.511106","-261.209694","-0.097","0","54745858","E","0.02202","0.01714","0.02202","0.02202","B2","IP3","7L3"
"396191","VSSG.7L3.B","6403.7025","-261.0183","0.097","0","54746723","I","0.029","0.0241","0.029","0.029","B1","IP3","7L3"
"396192","VSSG.7L3.R","6403.7025","-261.0183","-0.097","0","54746725","E","0.029","0.0241","0.029","0.029","B2","IP3","7L3"
"396192","VSSG.7L3.R","6405.4046","-259.3162","-0.097","0","54746726","E","0.029","0.0241","0.029","0.029","B2","IP3","7L3"
"396191","VSSG.7L3.B","6405.4046","-259.3162","0.097","0","54746724","I","0.029","0.0241","0.029","0.029","B1","IP3","7L3"
"271963","VABBG.7L3.C","6405.7368","-258.984","0.097","0","54743825","I","0.0315","0.0315","0.0315","0.0315","B1","IP3","7L3"
"1616440","VFCDO.B7L3.B","6405.7368","-258.984","0.097","0","54759903","I","0.0315","0.0315","0.0315","0.0315","B1","IP3","7L3"
"1616433","VFCDO.B7L3.R","6405.7368","-258.984","-0.097","0","54759889","E","0.0315","0.0315","0.0315","0.0315","B2","IP3","7L3"
"271963","VABBG.7L3.C","6405.7368","-258.984","-0.097","0","54743824","E","0.0315","0.0315","0.0315","0.0315","B2","IP3","7L3"
"1616440","VFCDO.B7L3.B","6405.7568","-258.964","0.097","0","54759904","I","0.0315","0.0315","0.0315","0.0315","B1","IP3","7L3"
"1616433","VFCDO.B7L3.R","6405.7568","-258.964","-0.097","0","54759890","E","0.0315","0.0315","0.0315","0.0315","B2","IP3","7L3"
