 # Name  angle[rad]  betax[m]  betay[m] halfgap[m]  Material  Length[m]  sigx[m]  sigy[m] tilt1[rad] tilt2[rad] nsig
        12 TCP.B6L7.B1     0.2215000000E+01    0.1424584990E+03    0.8748737078E+02    0.1278952186E-02 C    0.60000E+00   0.25852E-03   0.20259E-03   0.00000E+00   0.00000E+00   0.57000E+01
        16 TCSG.A6L7.B1    0.2462660000E+01    0.3987155334E+02    0.2269212048E+03    0.1777839480E-02 C    0.10000E+01   0.13677E-03   0.32628E-03   0.00000E+00   0.00000E+00   0.77000E+01
        18 TCSG.B5L7.B1    0.2504550000E+01    0.1600139614E+03    0.1665130220E+03    0.2124804899E-02 C    0.10000E+01   0.27399E-03   0.27950E-03   0.00000E+00   0.00000E+00   0.77000E+01
        20 TCSG.A5L7.B1    0.7103500000E+00    0.1859930959E+03    0.1459293088E+03    0.2167851330E-02 C    0.10000E+01   0.29539E-03   0.26165E-03   0.00000E+00   0.00000E+00   0.77000E+01
        22 TCSG.D4L7.B1    0.1570800000E+01    0.3329600107E+03    0.6886047525E+02    0.1383970625E-02 C    0.10000E+01   0.39523E-03   0.17974E-03   0.00000E+00   0.00000E+00   0.77000E+01
        26 TCSG.B4L7.B1    0.0000000000E+00    0.1397578972E+03    0.1309955093E+03    0.1971650999E-02 C    0.10000E+01   0.25606E-03   0.24790E-03   0.00000E+00   0.00000E+00   0.77000E+01
        28 TCSG.A4L7.B1    0.2349210000E+01    0.1286710934E+03    0.1412954168E+03    0.1938311659E-02 C    0.10000E+01   0.24569E-03   0.25746E-03   0.00000E+00   0.00000E+00   0.77000E+01
        30 TCSG.A4R7.B1    0.8080900000E+00    0.1182810796E+03    0.1522203387E+03    0.1945110104E-02 C    0.10000E+01   0.23556E-03   0.26723E-03   0.00000E+00   0.00000E+00   0.77000E+01
        36 TCSG.B5R7.B1    0.2469640000E+01    0.1218533010E+03    0.2675806513E+03    0.2227150754E-02 C    0.10000E+01   0.23909E-03   0.35431E-03   0.00000E+00   0.00000E+00   0.77000E+01
        40 TCSG.D5R7.B1    0.8971000000E+00    0.2138851006E+03    0.1585529549E+03    0.2238134557E-02 C    0.10000E+01   0.31677E-03   0.27273E-03   0.00000E+00   0.00000E+00   0.77000E+01
        42 TCSG.E5R7.B1    0.2277650000E+01    0.2414085855E+03    0.1361173886E+03    0.2240850301E-02 C    0.10000E+01   0.33653E-03   0.25270E-03   0.00000E+00   0.00000E+00   0.77000E+01
        44 TCSG.6R7.B1     0.8730000000E-02    0.3357666743E+03    0.4735650414E+02    0.3055951402E-02 C    0.10000E+01   0.39689E-03   0.14905E-03   0.00000E+00   0.00000E+00   0.77000E+01
        50 TCLA.A6R7.B1    0.1571000000E+01    0.2970758365E+03    0.4815513337E+02    0.1653351394E-02 W    0.10000E+01   0.37332E-03   0.15030E-03   0.00000E+00   0.00000E+00   0.11000E+02
        51 TCLA.B6R7.B1    0.0000000000E+00    0.1595043852E+03    0.7638768650E+02    0.3009055084E-02 W    0.10000E+01   0.27355E-03   0.18931E-03   0.00000E+00   0.00000E+00   0.11000E+02
        52 TCLA.C6R7.B1    0.1571000000E+01    0.6861722777E+02    0.1518870113E+03    0.2936325101E-02 W    0.10000E+01   0.17942E-03   0.26694E-03   0.00000E+00   0.00000E+00   0.11000E+02
        53 TCLA.D6R7.B1    0.0000000000E+00    0.6504935139E+02    0.1579157297E+03    0.1921610263E-02 W    0.10000E+01   0.17469E-03   0.27218E-03   0.00000E+00   0.00000E+00   0.11000E+02
        54 TCLA.A7R7.B1    0.0000000000E+00    0.6463387718E+02    0.1464538258E+03    0.1915463711E-02 W    0.10000E+01   0.17413E-03   0.26212E-03   0.00000E+00   0.00000E+00   0.11000E+02
        60 TCTPH.4L8.B1    0.0000000000E+00    0.2411571803E+03    0.3017606536E+03    0.5045363916E-02 W    0.10000E+01   0.33636E-03   0.37626E-03   0.00000E+00   0.00000E+00   0.15000E+02
        62 TCTPV.4L8.B1    0.1571000000E+01    0.2516986847E+03    0.3029580868E+03    0.5655013831E-02 W    0.10000E+01   0.34363E-03   0.37700E-03   0.00000E+00   0.00000E+00   0.15000E+02
        55 TCTPH.4L1.B1    0.0000000000E+00    0.2154118552E+04    0.8254893714E+03    0.9248552517E-02 W    0.10000E+01   0.10053E-02   0.62231E-03   0.00000E+00   0.00000E+00   0.92000E+01
        56 TCTPV.4L1.B1    0.1571000000E+01    0.2162757112E+04    0.8717179380E+03    0.5883380969E-02 W    0.10000E+01   0.10073E-02   0.63950E-03   0.00000E+00   0.00000E+00   0.92000E+01
